dataset,name,datatype,nseq,mean_nsites
Drosophila,EMGT00050000004398,NT,10,2607.6
Drosophila,EMGT00050000004165,NT,11,2123.7272727272725
Drosophila,EMGT00050000003538,NT,10,2612.7
Drosophila,EMGT00050000003492,NT,11,1597.6363636363637
Drosophila,EMGT00050000000383,NT,10,4257.3
Drosophila,EMGT00050000006888,NT,13,742.1538461538462
Drosophila,EMGT00050000004661,NT,10,7055.7
Drosophila,EMGT00050000001478,NT,11,2893.909090909091
Drosophila,EMGT00050000009072,NT,10,947.1
Drosophila,EMGT00050000000487,NT,10,2970.6
Drosophila,EMGT00050000003958,NT,11,6755.727272727273
Drosophila,EMGT00050000000634,NT,9,4049.6666666666665
Drosophila,EMGT00050000004701,NT,9,3340
Drosophila,EMGT00050000002923,NT,11,1483.090909090909
Drosophila,EMGT00050000001601,NT,11,3981.5454545454545
Drosophila,EMGT00050000000403,NT,7,2682
Drosophila,EMGT00050000001366,NT,8,1236.75
Drosophila,EMGT00050000000919,NT,12,3981.75
Drosophila,EMGT00050000000164,NT,11,2574.2727272727275
Drosophila,EMGT00050000003992,NT,8,497.625
Drosophila,EMGT00050000001031,NT,11,2858.7272727272725
Drosophila,EMGT00050000007309,NT,11,1646.7272727272727
Drosophila,EMGT00050000002247,NT,10,1970.4
Drosophila,EMGT00050000001556,NT,11,2959.6363636363635
Drosophila,EMGT00050000001518,NT,6,1811.5
Drosophila,EMGT00050000000307,NT,12,2485.75
Drosophila,EMGT00050000000660,NT,11,1095.8181818181818
Drosophila,EMGT00050000000537,NT,10,2482.8
Drosophila,EMGT00050000008242,NT,10,2414.7
Drosophila,EMGT00050000001950,NT,8,4048.875
Drosophila,EMGT00050000002315,NT,8,1139.25
Drosophila,EMGT00050000000361,NT,31,347.4193548387097
Drosophila,EMGT00050000002672,NT,12,3780.5
Drosophila,EMGT00050000002995,NT,11,887.1818181818181
Drosophila,EMGT00050000005178,NT,11,3041.7272727272725
Drosophila,EMGT00050000001753,NT,22,1532.8636363636363
Drosophila,EMGT00050000002042,NT,11,1581.5454545454545
Drosophila,EMGT00050000004767,NT,10,3705
Drosophila,EMGT00050000007845,NT,40,821.325
Drosophila,EMGT00050000002176,NT,10,3019.8
Drosophila,EMGT00050000003374,NT,12,1591.5
Drosophila,EMGT00050000003023,NT,10,2467.8
Drosophila,EMGT00050000003810,NT,13,948.2307692307693
Drosophila,EMGT00050000000581,NT,11,6943.363636363636
Drosophila,EMGT00050000004157,NT,12,976
Drosophila,EMGT00050000000150,NT,20,1768.95
Drosophila,EMGT00050000001352,NT,9,1548.3333333333333
Drosophila,EMGT00050000002959,NT,11,1764.5454545454545
Drosophila,EMGT00050000002124,NT,9,3405
Drosophila,EMGT00050000001635,NT,12,1915.75
Drosophila,EMGT00050000001486,NT,9,5302.333333333333
Drosophila,EMGT00050000007543,NT,12,2819.5
Drosophila,EMGT00050000003368,NT,10,1666.2
Drosophila,EMGT00050000007024,NT,11,1330.6363636363637
Drosophila,EMGT00050000004978,NT,9,991
Drosophila,EMGT00050000000760,NT,10,5427.6
Drosophila,EMGT00050000000887,NT,9,2897
Drosophila,EMGT00050000005349,NT,11,1333.090909090909
Drosophila,EMGT00050000003145,NT,11,1135.090909090909
Drosophila,EMGT00050000001456,NT,12,4128
Drosophila,EMGT00050000001418,NT,8,6846
Drosophila,EMGT00050000001382,NT,11,2523
Drosophila,EMGT00050000000857,NT,12,4743.5
Drosophila,EMGT00050000004328,NT,12,1924.25
Drosophila,EMGT00050000002577,NT,10,6098.4
Drosophila,EMGT00050000002010,NT,10,1287.9
Drosophila,EMGT00050000004783,NT,10,3191.7
Drosophila,EMGT00050000000632,NT,10,3399.6
Drosophila,EMGT00050000001683,NT,12,1068.75
Drosophila,EMGT00050000002192,NT,11,1597.3636363636363
Drosophila,EMGT00050000002608,NT,26,2495.1923076923076
Drosophila,EMGT00050000007138,NT,12,2197
Drosophila,EMGT00050000009190,NT,34,1235.0294117647059
Drosophila,EMGT00050000000002,NT,12,2054.25
Drosophila,EMGT00050000001200,NT,12,1547.75
Drosophila,EMGT00050000007796,NT,21,531.7142857142857
Drosophila,EMGT00050000000136,NT,10,6925.2
Drosophila,EMGT00050000002425,NT,19,1504.578947368421
Drosophila,EMGT00050000007525,NT,12,1422.5
Drosophila,EMGT00050000001063,NT,7,4247.142857142857
Drosophila,EMGT00050000000706,NT,12,1491.75
Drosophila,EMGT00050000003017,NT,23,3232.4347826086955
Drosophila,EMGT00050000001467,NT,9,1637.3333333333333
Drosophila,EMGT00050000000302,NT,10,3860.4
Drosophila,EMGT00050000002611,NT,11,2480.7272727272725
Drosophila,EMGT00050000002508,NT,44,824.0454545454545
Drosophila,EMGT00050000001583,NT,12,992.75
Drosophila,EMGT00050000007121,NT,11,1281.2727272727273
Drosophila,EMGT00050000004999,NT,11,1978.6363636363637
Drosophila,EMGT00050000002472,NT,11,1388.7272727272727
Drosophila,EMGT00050000001604,NT,8,1364.25
Drosophila,EMGT00050000000406,NT,12,1240.75
Drosophila,EMGT00050000004263,NT,12,1669
Drosophila,EMGT00050000005506,NT,11,574.0909090909091
Drosophila,EMGT00050000002926,NT,11,952.3636363636364
Drosophila,EMGT00050000008995,NT,10,4854
Drosophila,EMGT00050000004134,NT,11,4305.545454545455
Drosophila,EMGT00050000002242,NT,6,5722
Drosophila,EMGT00050000003040,NT,11,3267.5454545454545
Drosophila,EMGT00050000004762,NT,12,2614.5
Drosophila,EMGT00050000000584,NT,11,3185.7272727272725
Drosophila,EMGT00050000001052,NT,12,647.25
Drosophila,EMGT00050000003026,NT,11,2538.818181818182
Drosophila,EMGT00050000000364,NT,12,1260.75
Drosophila,EMGT00050000002310,NT,11,2527.6363636363635
Drosophila,EMGT00050000004066,NT,10,1907.1
Drosophila,EMGT00050000001082,NT,19,668.8421052631579
Drosophila,EMGT00050000002009,NT,11,2952.5454545454545
Drosophila,EMGT00050000000378,NT,12,2778.25
Drosophila,EMGT00050000000185,NT,13,1469.5384615384614
Drosophila,EMGT00050000001387,NT,10,4090.5
Drosophila,EMGT00050000001949,NT,10,5127.3
Drosophila,EMGT00050000001453,NT,11,2940.818181818182
Drosophila,EMGT00050000001704,NT,10,4986
Drosophila,EMGT00050000000506,NT,27,1792.3333333333333
Drosophila,EMGT00050000007968,NT,12,2544.25
Drosophila,EMGT00050000004730,NT,21,1135.2857142857142
Drosophila,EMGT00050000000681,NT,11,4824.818181818182
Drosophila,EMGT00050000001630,NT,22,884.4545454545455
Drosophila,EMGT00050000009444,NT,11,2534.4545454545455
Drosophila,EMGT00050000008577,NT,12,1713
Drosophila,EMGT00050000001618,NT,10,1421.4
Drosophila,EMGT00050000002109,NT,9,3205.3333333333335
Drosophila,EMGT00050000002693,NT,11,6159.272727272727
Drosophila,EMGT00050000000380,NT,10,1310.4
Drosophila,EMGT00050000001501,NT,11,1562.1818181818182
Drosophila,EMGT00050000003575,NT,12,1684
Drosophila,EMGT00050000008273,NT,12,3418
Drosophila,EMGT00050000001686,NT,9,6417.666666666667
Drosophila,EMGT00050000002197,NT,9,2047.3333333333333
Drosophila,EMGT00050000001435,NT,8,3280.875
Drosophila,EMGT00050000002324,NT,74,922.5405405405405
Drosophila,EMGT00050000002073,NT,12,3213
Drosophila,EMGT00050000002476,NT,10,998.1
Drosophila,EMGT00050000006774,NT,10,1288.2
Drosophila,EMGT00050000008521,NT,47,868.468085106383
Drosophila,EMGT00050000005502,NT,11,1844.1818181818182
Drosophila,EMGT00050000002592,NT,9,1260.6666666666667
Drosophila,EMGT00050000000081,NT,18,1147.3333333333333
Drosophila,EMGT00050000008676,NT,12,1059.25
Drosophila,EMGT00050000001557,NT,8,3212.25
Drosophila,EMGT00050000002246,NT,9,5188.666666666667
Drosophila,EMGT00050000004419,NT,11,3340.090909090909
Drosophila,EMGT00050000007988,NT,23,1147.695652173913
Drosophila,EMGT00050000001030,NT,12,5046.5
Drosophila,EMGT00050000000986,NT,10,1701.9
Drosophila,EMGT00050000007715,NT,43,1017.7674418604652
Drosophila,EMGT00050000003459,NT,14,997.7142857142857
Drosophila,EMGT00050000005151,NT,10,1313.1
Drosophila,EMGT00050000002296,NT,10,3916.2
Drosophila,EMGT00050000000785,NT,23,738.5217391304348
Drosophila,EMGT00050000007396,NT,12,2538.25
Drosophila,EMGT00050000002673,NT,8,1844.25
